Loan_ID,Gender,Marital_Status,Dependents,Graduate,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LI0100,Male,Single,0,Yes,No,5849,0,,360,1,Urban,Y
LI0101,Male,Married,1,Yes,No,4583,1508,128,360,1,Rural,N
LI0102,Male,Married,0,Yes,Yes,3000,0,66,360,1,Urban,Y
LI0103,Male,Married,0,No,No,2583,2358,120,360,1,Urban,Y
LI0104,Male,Single,0,Yes,No,6000,0,141,360,1,Urban,Y
LI0105,Male,Married,2,Yes,Yes,5417,4196,267,360,1,Urban,Y
LI0106,Male,Married,0,No,No,2333,1516,95,360,1,Urban,Y
LI0107,Male,Married,3+,Yes,No,3036,2504,158,360,0,Semiurban,N
LI0108,Male,Married,2,Yes,No,4006,1526,168,360,1,Urban,Y
LI0109,Male,Married,1,Yes,No,12841,10968,349,360,1,Semiurban,N
LI0110,Male,Married,2,Yes,No,3200,700,70,360,1,Urban,Y
LI0111,Male,Married,2,Yes,,2500,1840,109,360,1,Urban,Y
LI0112,Male,Married,2,Yes,No,3073,8106,200,360,1,Urban,Y
LI0113,Male,Single,0,Yes,No,1853,2840,114,360,1,Rural,N
LI0114,Male,Married,2,Yes,No,1299,1086,17,120,1,Urban,Y
LI0115,Male,Single,0,Yes,No,4950,0,125,360,1,Urban,Y
LI0116,Male,Single,1,No,No,3596,0,100,240,,Urban,Y
LI0117,Female,Single,0,Yes,No,3510,0,76,360,0,Urban,N
LI0118,Male,Married,0,No,No,4887,0,133,360,1,Rural,N
LI0119,Male,Married,0,Yes,,2600,3500,115,,1,Urban,Y
LI0120,Male,Married,0,No,No,7660,0,104,360,0,Urban,N
LI0121,Male,Married,1,Yes,No,5955,5625,315,360,1,Urban,Y
LI0122,Male,Married,0,No,No,2600,1911,116,360,0,Semiurban,N
LI0123,,Married,2,No,No,3365,1917,112,360,0,Rural,N
LI0124,Male,Married,1,Yes,,3717,2925,151,360,,Semiurban,N
LI0125,Male,Married,0,Yes,Yes,9560,0,191,360,1,Semiurban,Y
LI0126,Male,Married,0,Yes,No,2799,2253,122,360,1,Semiurban,Y
LI0127,Male,Married,2,No,No,4226,1040,110,360,1,Urban,Y
LI0128,Male,Single,0,No,No,1442,0,35,360,1,Urban,N
LI0129,Female,Single,2,Yes,,3750,2083,120,360,1,Semiurban,Y
LI0130,Male,Married,1,Yes,,4166,3369,201,360,,Urban,N
LI0131,Male,Single,0,Yes,No,3167,0,74,360,1,Urban,N
LI0132,Male,Single,1,Yes,Yes,4692,0,106,360,1,Rural,N
LI0133,Male,Married,0,Yes,No,3500,1667,114,360,1,Semiurban,Y
LI0134,Male,Single,3+,Yes,No,12500,3000,320,360,1,Rural,N
LI0135,Male,Married,0,Yes,No,2275,2067,,360,1,Urban,Y
LI0136,Male,Married,0,Yes,No,1828,1330,100,,0,Urban,N
LI0137,Female,Married,0,Yes,No,3667,1459,144,360,1,Semiurban,Y
LI0138,Male,Single,0,Yes,No,4166,7210,184,360,1,Urban,Y
LI0139,Male,Single,0,No,No,3748,1668,110,360,1,Semiurban,Y
LI0140,Male,Single,0,Yes,No,3600,0,80,360,1,Urban,N
LI0141,Male,Single,0,Yes,No,1800,1213,47,360,1,Urban,Y
LI0142,Male,Married,0,Yes,No,2400,0,75,360,,Urban,Y
LI0143,Male,Married,0,Yes,No,3941,2336,134,360,1,Semiurban,Y
LI0144,Male,Married,0,No,Yes,4695,0,96,,1,Urban,Y
LI0145,Female,Single,0,Yes,No,3410,0,88,,1,Urban,Y
LI0146,Male,Married,1,Yes,No,5649,0,44,360,1,Urban,Y
LI0147,Male,Married,0,Yes,No,5821,0,144,360,1,Urban,Y
LI0148,Female,Married,0,Yes,No,2645,3440,120,360,0,Urban,N
LI0149,Female,Single,0,Yes,No,4000,2275,144,360,1,Semiurban,Y
LI0150,Female,Married,0,No,No,1928,1644,100,360,1,Semiurban,Y
LI0151,Female,Single,0,Yes,No,3086,0,120,360,1,Semiurban,Y
LI0152,Female,Single,0,Yes,No,4230,0,112,360,1,Semiurban,N
LI0153,Male,Married,2,Yes,No,4616,0,134,360,1,Urban,N
LI0154,Female,Married,1,Yes,Yes,11500,0,286,360,0,Urban,N
LI0155,Male,Married,2,Yes,No,2708,1167,97,360,1,Semiurban,Y
LI0156,Male,Married,0,Yes,No,2132,1591,96,360,1,Semiurban,Y
LI0157,Male,Married,0,Yes,No,3366,2200,135,360,1,Rural,N
LI0158,Male,Married,1,Yes,No,8080,2250,180,360,1,Urban,Y
LI0159,Male,Married,2,No,No,3357,2859,144,360,1,Urban,Y
LI0160,Male,Married,0,Yes,No,2500,3796,120,360,1,Urban,Y
LI0161,Male,Married,3+,Yes,No,3029,0,99,360,1,Urban,Y
LI0162,Male,Married,0,No,Yes,2609,3449,165,180,0,Rural,N
LI0163,Male,Married,1,Yes,No,4945,0,,360,0,Rural,N
LI0164,Female,Single,0,Yes,No,4166,0,116,360,0,Semiurban,N
LI0165,Male,Married,0,Yes,No,5726,4595,258,360,1,Semiurban,N
LI0166,Male,Single,0,No,No,3200,2254,126,180,0,Urban,N
LI0167,Male,Married,1,Yes,No,10750,0,312,360,1,Urban,Y
LI0168,Male,Married,3+,No,Yes,7100,0,125,60,1,Urban,Y
LI0169,Female,Single,0,Yes,No,4300,0,136,360,0,Semiurban,N
LI0170,Male,Married,0,Yes,No,3208,3066,172,360,1,Urban,Y
LI0171,Male,Married,2,No,Yes,1875,1875,97,360,1,Semiurban,Y
LI0172,Male,Single,0,Yes,No,3500,0,81,300,1,Semiurban,Y
LI0173,Male,Married,3+,No,No,4755,0,95,,0,Semiurban,N
LI0174,Male,Married,3+,Yes,Yes,5266,1774,187,360,1,Semiurban,Y
LI0175,Male,Single,0,Yes,No,3750,0,113,480,1,Urban,N
LI0176,Male,Single,0,Yes,No,3750,4750,176,360,1,Urban,N
LI0177,Male,Married,1,Yes,Yes,1000,3022,110,360,1,Urban,N
LI0178,Male,Married,3+,Yes,No,3167,4000,180,300,0,Semiurban,N
LI0179,Male,Married,3+,No,Yes,3333,2166,130,360,,Semiurban,Y
LI0180,Female,Single,0,Yes,No,3846,0,111,360,1,Semiurban,Y
LI0181,Male,Married,1,Yes,Yes,2395,0,,360,1,Semiurban,Y
LI0182,Female,Married,2,Yes,No,1378,1881,167,360,1,Urban,N
LI0183,Male,Married,0,Yes,No,6000,2250,265,360,,Semiurban,N
LI0184,Male,Married,1,Yes,No,3988,0,50,240,1,Urban,Y
LI0185,Male,Single,0,Yes,No,2366,2531,136,360,1,Semiurban,Y
LI0186,Male,Married,2,No,No,3333,2000,99,360,,Semiurban,Y
LI0187,Male,Married,0,Yes,No,2500,2118,104,360,1,Semiurban,Y
LI0188,Male,Single,0,Yes,No,8566,0,210,360,1,Urban,Y
LI0189,Male,Married,0,Yes,No,5695,4167,175,360,1,Semiurban,Y
LI0190,Male,Married,0,Yes,No,2958,2900,131,360,1,Semiurban,Y
LI0191,Male,Married,2,Yes,No,6250,5654,188,180,1,Semiurban,Y
LI0192,Male,Married,2,No,No,3273,1820,81,360,1,Urban,Y
LI0193,Male,Single,0,Yes,No,4133,0,122,360,1,Semiurban,Y
LI0194,Male,Single,0,No,No,3620,0,25,120,1,Semiurban,Y
LI0195,Male,Single,0,Yes,,6782,0,,360,,Urban,N
LI0196,Female,Married,0,Yes,No,2484,2302,137,360,1,Semiurban,Y
LI0197,Male,Married,0,Yes,No,1977,997,50,360,1,Semiurban,Y
LI0198,Male,Married,0,No,No,4188,0,115,180,1,Semiurban,Y
LI0199,Male,Married,0,Yes,No,1759,3541,131,360,1,Semiurban,Y
LI0200,Male,Married,2,No,No,4288,3263,133,180,1,Urban,Y
LI0201,Male,Single,0,Yes,No,4843,3806,151,360,1,Semiurban,Y
LI0202,Male,Married,,Yes,No,13650,0,,360,1,Urban,Y
LI0203,Male,Married,0,Yes,No,4652,3583,,360,1,Semiurban,Y
LI0204,Male,,,Yes,No,3816,754,160,360,1,Urban,Y
LI0205,Male,Married,1,Yes,No,3052,1030,100,360,1,Urban,Y
LI0206,Male,Married,2,Yes,No,11417,1126,225,360,1,Urban,Y
LI0207,Male,Single,0,No,,7333,0,120,360,1,Rural,N
LI0208,Male,Married,2,Yes,No,3800,3600,216,360,0,Urban,N
LI0209,Male,Married,3+,No,No,2071,754,94,480,1,Semiurban,Y
LI0210,Male,Single,0,Yes,No,5316,0,136,360,1,Urban,Y
LI0211,Female,Married,0,Yes,,2929,2333,139,360,1,Semiurban,Y
LI0212,Male,Married,0,No,No,3572,4114,152,,0,Rural,N
LI0213,Female,Single,1,Yes,Yes,7451,0,,360,1,Semiurban,Y
LI0214,Male,Single,0,Yes,,5050,0,118,360,1,Semiurban,Y
LI0215,Male,Married,1,Yes,No,14583,0,185,180,1,Rural,Y
LI0216,Female,Married,0,Yes,No,3167,2283,154,360,1,Semiurban,Y
LI0217,Male,Married,1,Yes,No,2214,1398,85,360,,Urban,Y
LI0218,Male,Married,0,Yes,No,5568,2142,175,360,1,Rural,N
LI0219,Female,Single,0,Yes,No,10408,0,259,360,1,Urban,Y
LI0220,Male,Married,,Yes,No,5667,2667,180,360,1,Rural,Y
LI0221,Female,Single,0,Yes,No,4166,0,44,360,1,Semiurban,Y
LI0222,Female,Single,0,Yes,No,2137,8980,137,360,0,Semiurban,Y
LI0223,Male,Married,2,Yes,No,2957,0,81,360,1,Semiurban,Y
LI0224,Male,Married,0,No,No,4300,2014,194,360,1,Rural,Y
LI0225,Female,Single,0,Yes,No,3692,0,93,360,,Rural,Y
LI0226,,Married,3+,Yes,No,23803,0,370,360,1,Rural,Y
LI0227,Male,Single,0,Yes,No,3865,1640,,360,1,Rural,Y
LI0228,Male,Married,1,Yes,Yes,10513,3850,160,180,0,Urban,N
LI0229,Male,Married,0,Yes,No,6080,2569,182,360,,Rural,N
LI0230,Male,Single,0,Yes,Yes,20166,0,650,480,,Urban,Y
LI0231,Male,Single,0,Yes,No,2014,1929,74,360,1,Urban,Y
LI0232,Male,Single,0,Yes,No,2718,0,70,360,1,Semiurban,Y
LI0233,Male,Married,0,Yes,Yes,3459,0,25,120,1,Semiurban,Y
LI0234,Male,Single,0,Yes,No,4895,0,102,360,1,Semiurban,Y
LI0235,Male,Married,3+,Yes,No,4000,7750,290,360,1,Semiurban,N
LI0236,Female,Married,0,Yes,No,4583,0,84,360,1,Rural,N
LI0237,Male,Married,2,Yes,Yes,3316,3500,88,360,1,Urban,Y
LI0238,Male,Single,0,Yes,No,14999,0,242,360,0,Semiurban,N
LI0239,Male,Married,2,No,No,4200,1430,129,360,1,Rural,N
LI0240,Male,Married,2,Yes,No,5042,2083,185,360,1,Rural,N
LI0241,Male,Single,0,Yes,No,5417,0,168,360,1,Urban,Y
LI0242,Male,Single,0,Yes,Yes,6950,0,175,180,1,Semiurban,Y
LI0243,Male,Married,0,Yes,No,2698,2034,122,360,1,Semiurban,Y
LI0244,Male,Married,2,Yes,No,11757,0,187,180,1,Urban,Y
LI0245,Female,Married,0,Yes,No,2330,4486,100,360,1,Semiurban,Y
LI0246,Female,Married,2,Yes,No,14866,0,70,360,1,Urban,Y
LI0247,Male,Married,1,Yes,No,1538,1425,30,360,1,Urban,Y
LI0248,Female,Single,0,Yes,No,10000,1666,225,360,1,Rural,N
LI0249,Male,Married,0,Yes,No,4860,830,125,360,1,Semiurban,Y
LI0250,Male,Single,0,Yes,No,6277,0,118,360,0,Rural,N
LI0251,Male,Married,0,Yes,Yes,2577,3750,152,360,1,Rural,Y
LI0252,Male,Single,0,Yes,No,9166,0,244,360,1,Urban,N
LI0253,Male,Married,2,No,No,2281,0,113,360,1,Rural,N
LI0254,Male,Single,0,Yes,No,3254,0,50,360,1,Urban,Y
LI0255,Male,Married,3+,Yes,No,39999,0,600,180,0,Semiurban,Y
LI0256,Male,Married,1,Yes,No,6000,0,160,360,,Rural,Y
LI0257,Male,Married,1,Yes,No,9538,0,187,360,1,Urban,Y
LI0258,Male,Single,0,Yes,,2980,2083,120,360,1,Rural,Y
LI0259,Male,Married,0,Yes,No,4583,5625,255,360,1,Semiurban,Y
LI0260,Male,Married,0,No,No,1863,1041,98,360,1,Semiurban,Y
LI0261,Male,Married,0,Yes,No,7933,0,275,360,1,Urban,N
LI0262,Male,Married,1,Yes,No,3089,1280,121,360,0,Semiurban,N
LI0263,Male,Married,2,Yes,No,4167,1447,158,360,1,Rural,Y
LI0264,Male,Married,0,Yes,No,9323,0,75,180,1,Urban,Y
LI0265,Male,Married,0,Yes,No,3707,3166,182,,1,Rural,Y
LI0266,Female,Married,0,Yes,No,4583,0,112,360,1,Rural,N
LI0267,Male,Married,0,Yes,No,2439,3333,129,360,1,Rural,Y
LI0268,Male,Single,0,Yes,No,2237,0,63,480,0,Semiurban,N
LI0269,Male,Married,2,Yes,No,8000,0,200,360,1,Semiurban,Y
LI0270,Male,Married,0,No,,1820,1769,95,360,1,Rural,Y
LI0271,,Married,3+,Yes,No,51763,0,700,300,1,Urban,Y
LI0272,Male,Married,3+,No,No,3522,0,81,180,1,Rural,N
LI0273,Male,Married,0,Yes,No,5708,5625,187,360,1,Semiurban,Y
LI0274,Male,Married,0,No,Yes,4344,736,87,360,1,Semiurban,N
LI0275,Male,Married,0,Yes,No,3497,1964,116,360,1,Rural,Y
LI0276,Male,Married,2,Yes,No,2045,1619,101,360,1,Rural,Y
LI0277,Male,Married,3+,Yes,No,5516,11300,495,360,0,Semiurban,N
LI0278,Male,Married,1,Yes,No,3750,0,116,360,1,Semiurban,Y
LI0279,Male,Single,0,No,No,2333,1451,102,480,0,Urban,N
LI0280,Male,Married,1,Yes,No,6400,7250,180,360,0,Urban,N
LI0281,Male,Single,0,Yes,No,1916,5063,67,360,,Rural,N
LI0282,Male,Married,0,Yes,No,4600,0,73,180,1,Semiurban,Y
LI0283,Male,Married,1,Yes,No,33846,0,260,360,1,Semiurban,N
LI0284,Female,Married,0,Yes,No,3625,0,108,360,1,Semiurban,Y
LI0285,Male,Married,0,Yes,Yes,39147,4750,120,360,1,Semiurban,Y
LI0286,Male,Married,1,Yes,Yes,2178,0,66,300,0,Rural,N
LI0287,Male,Married,0,Yes,No,2383,2138,58,360,,Rural,Y
LI0288,,Married,0,Yes,Yes,674,5296,168,360,1,Rural,Y
LI0289,Male,Married,0,Yes,No,9328,0,188,180,1,Rural,Y
LI0290,Male,Single,0,No,No,4885,0,48,360,1,Rural,Y
LI0291,Male,Single,0,Yes,No,12000,0,164,360,1,Semiurban,N
LI0292,Male,Married,0,No,No,6033,0,160,360,1,Urban,N
LI0293,Male,Single,0,Yes,No,3858,0,76,360,1,Semiurban,Y
LI0294,Male,Single,0,Yes,No,4191,0,120,360,1,Rural,Y
LI0295,Male,Married,1,Yes,No,3125,2583,170,360,1,Semiurban,N
LI0296,Male,Single,0,Yes,No,8333,3750,187,360,1,Rural,Y
LI0297,Female,Single,0,No,No,1907,2365,120,,1,Urban,Y
LI0298,Female,Married,0,Yes,No,3416,2816,113,360,,Semiurban,Y
LI0299,Male,Single,0,Yes,Yes,11000,0,83,360,1,Urban,N
LI0300,Male,Married,1,No,No,2600,2500,90,360,1,Semiurban,Y
LI0301,Male,Single,2,Yes,No,4923,0,166,360,0,Semiurban,Y
LI0302,Male,Married,3+,No,No,3992,0,,180,1,Urban,N
LI0303,Male,Married,1,No,No,3500,1083,135,360,1,Urban,Y
LI0304,Male,Married,2,No,No,3917,0,124,360,1,Semiurban,Y
LI0305,Female,Single,0,No,No,4408,0,120,360,1,Semiurban,Y
LI0306,Female,Single,0,Yes,No,3244,0,80,360,1,Urban,Y
LI0307,Male,Single,0,No,No,3975,2531,55,360,1,Rural,Y
LI0308,Male,Single,0,Yes,No,2479,0,59,360,1,Urban,Y
LI0309,Male,Single,0,Yes,No,3418,0,127,360,1,Semiurban,N
LI0310,Female,Single,0,Yes,No,10000,0,214,360,1,Semiurban,N
LI0311,Male,Married,3+,Yes,No,3430,1250,128,360,0,Semiurban,N
LI0312,Male,Married,1,Yes,Yes,7787,0,240,360,1,Urban,Y
LI0313,Male,Married,3+,No,Yes,5703,0,130,360,1,Rural,Y
LI0314,Male,Married,0,Yes,No,3173,3021,137,360,1,Urban,Y
LI0315,Male,Married,3+,No,No,3850,983,100,360,1,Semiurban,Y
LI0316,Male,Married,0,Yes,No,150,1800,135,360,1,Rural,N
LI0317,Male,Married,0,Yes,No,3727,1775,131,360,1,Semiurban,Y
LI0318,Male,Married,2,Yes,,5000,0,72,360,0,Semiurban,N
LI0319,Female,Married,2,Yes,No,4283,2383,127,360,,Semiurban,Y
LI0320,Male,Married,0,Yes,No,2221,0,60,360,0,Urban,N
LI0321,Male,Married,2,Yes,No,4009,1717,116,360,1,Semiurban,Y
LI0322,Male,Single,0,Yes,No,2971,2791,144,360,1,Semiurban,Y
LI0323,Male,Married,0,Yes,No,7578,1010,175,,1,Semiurban,Y
LI0324,Male,Married,0,Yes,No,6250,0,128,360,1,Semiurban,Y
LI0325,Male,Married,0,Yes,No,3250,0,170,360,1,Rural,N
LI0326,Male,Married,,No,Yes,4735,0,138,360,1,Urban,N
LI0327,Male,Married,2,Yes,No,6250,1695,210,360,1,Semiurban,Y
LI0328,Male,,,Yes,No,4758,0,158,480,1,Semiurban,Y
LI0329,Male,Single,0,Yes,Yes,6400,0,200,360,1,Rural,Y
LI0330,Male,Married,1,Yes,No,2491,2054,104,360,1,Semiurban,Y
LI0331,Male,Married,0,Yes,,3716,0,42,180,1,Rural,Y
LI0332,Male,Single,0,No,No,3189,2598,120,,1,Rural,Y
LI0333,Female,Single,0,Yes,No,8333,0,280,360,1,Semiurban,Y
LI0334,Male,Married,1,Yes,No,3155,1779,140,360,1,Semiurban,Y
LI0335,Male,Married,1,Yes,No,5500,1260,170,360,1,Rural,Y
LI0336,Male,Married,0,Yes,,5746,0,255,360,,Urban,N
LI0337,Female,Single,0,Yes,Yes,3463,0,122,360,,Urban,Y
LI0338,Female,Single,1,Yes,No,3812,0,112,360,1,Rural,Y
LI0339,Male,Married,1,Yes,No,3315,0,96,360,1,Semiurban,Y
LI0340,Male,Married,2,Yes,No,5819,5000,120,360,1,Rural,Y
LI0341,Male,Married,1,No,No,2510,1983,140,180,1,Urban,N
LI0342,Male,Single,0,Yes,No,2965,5701,155,60,1,Urban,Y
LI0343,Male,Married,2,Yes,Yes,6250,1300,108,360,1,Rural,Y
LI0344,Male,Married,0,No,No,3406,4417,123,360,1,Semiurban,Y
LI0345,Male,Single,0,Yes,Yes,6050,4333,120,180,1,Urban,N
LI0346,Male,Married,2,Yes,No,9703,0,112,360,1,Urban,Y
LI0347,Male,Married,1,No,No,6608,0,137,180,1,Urban,Y
LI0348,Male,Married,1,Yes,No,2882,1843,123,480,1,Semiurban,Y
LI0349,Male,Married,0,Yes,No,1809,1868,90,360,1,Urban,Y
LI0350,Male,Married,0,No,No,1668,3890,201,360,0,Semiurban,N
LI0351,Female,Single,2,Yes,No,3427,0,138,360,1,Urban,N
LI0352,Male,Single,0,No,Yes,2583,2167,104,360,1,Rural,Y
LI0353,Male,Married,1,No,No,2661,7101,279,180,1,Semiurban,Y
LI0354,Male,Single,0,Yes,Yes,16250,0,192,360,0,Urban,N
LI0355,Female,Single,3+,Yes,No,3083,0,255,360,1,Rural,Y
LI0356,Male,Single,0,No,No,6045,0,115,360,0,Rural,N
LI0357,Male,Married,3+,Yes,No,5250,0,94,360,1,Urban,N
LI0358,Male,Married,0,Yes,No,14683,2100,304,360,1,Rural,N
LI0359,Male,Married,3+,No,No,4931,0,128,360,,Semiurban,N
LI0360,Male,Married,1,Yes,No,6083,4250,330,360,,Urban,Y
LI0361,Male,Single,0,Yes,No,2060,2209,134,360,1,Semiurban,Y
LI0362,Female,Single,1,Yes,No,3481,0,155,36,1,Semiurban,N
LI0363,Female,Single,0,Yes,No,7200,0,120,360,1,Rural,Y
LI0364,Male,Single,0,Yes,Yes,5166,0,128,360,1,Semiurban,Y
LI0365,Male,Single,0,Yes,No,4095,3447,151,360,1,Rural,Y
LI0366,Male,Married,2,Yes,No,4708,1387,150,360,1,Semiurban,Y
LI0367,Male,Married,3+,Yes,No,4333,1811,160,360,0,Urban,Y
LI0368,Female,Single,0,Yes,,3418,0,135,360,1,Rural,N
LI0369,Female,Single,1,Yes,No,2876,1560,90,360,1,Urban,Y
LI0370,Female,Single,0,Yes,No,3237,0,30,360,1,Urban,Y
LI0371,Male,Married,0,Yes,No,11146,0,136,360,1,Urban,Y
LI0372,Male,Single,0,Yes,No,2833,1857,126,360,1,Rural,Y
LI0373,Male,Married,0,Yes,No,2620,2223,150,360,1,Semiurban,Y
LI0374,Male,Married,2,Yes,No,3900,0,90,360,1,Semiurban,Y
LI0375,Male,Married,1,Yes,No,2750,1842,115,360,1,Semiurban,Y
LI0376,Male,Married,0,Yes,No,3993,3274,207,360,1,Semiurban,Y
LI0377,Male,Married,0,Yes,No,3103,1300,80,360,1,Urban,Y
LI0378,Male,Married,0,Yes,No,14583,0,436,360,1,Semiurban,Y
LI0379,Female,Married,0,No,No,4100,0,124,360,,Rural,Y
LI0380,Male,Single,1,No,Yes,4053,2426,158,360,0,Urban,N
LI0381,Male,Married,0,Yes,No,3927,800,112,360,1,Semiurban,Y
LI0382,Male,Married,2,Yes,No,2301,985.7999878,78,180,1,Urban,Y
LI0383,Female,Single,0,Yes,No,1811,1666,54,360,1,Urban,Y
LI0384,Male,Married,0,Yes,No,20667,0,,360,1,Rural,N
LI0385,Male,Single,0,Yes,No,3158,3053,89,360,1,Rural,Y
LI0386,Female,Single,0,Yes,Yes,2600,1717,99,300,1,Semiurban,N
LI0387,Male,Married,0,Yes,No,3704,2000,120,360,1,Rural,Y
LI0388,Female,Single,0,Yes,No,4124,0,115,360,1,Semiurban,Y
LI0389,Male,Single,0,Yes,No,9508,0,187,360,1,Rural,Y
LI0390,Male,Married,0,Yes,No,3075,2416,139,360,1,Rural,Y
LI0391,Male,Married,2,Yes,No,4400,0,127,360,0,Semiurban,N
LI0392,Male,Married,2,Yes,No,3153,1560,134,360,1,Urban,Y
LI0393,Female,Single,,Yes,No,5417,0,143,480,0,Urban,N
LI0394,Male,Married,0,Yes,No,2383,3334,172,360,1,Semiurban,Y
LI0395,Male,Married,3+,Yes,,4416,1250,110,360,1,Urban,Y
LI0396,Male,Married,1,Yes,No,6875,0,200,360,1,Semiurban,Y
